year,subtotal_group,revised_name,gross_expenditure,net_expenditure,property_tax_levy,avg_cpi,inflation_factor,inflation_adjusted_gross,inflation_adjusted_net,inflation_adjusted_levy,inflation_adjusted_levy_2017,gross_expenditure_normalized,inflation_adjusted_gross_normalised,property_tax_levy_normalized,inflation_adjusted_levy_normalized
2017,Total Corporate Financial,Corporate Financial,,10113,-5048,131.86666666666667,1.1582636271716151,,11713.520061586543,-5846.914789962313,-5846.914789962313,,,1,1
2018,Total Corporate Financial,Corporate Financial,,9689,-7689,134.96666666666667,1.1316598935764162,,10964.652708861897,-8701.332921709063,-5846.914789962313,,,1.5231774960380349,1.4881921892631427
2019,Total Corporate Financial,Corporate Financial,9595,9595,-8607,137.49166666666667,1.1108772432489022,10658.867148973217,10658.867148973217,-9561.320432643302,-5846.914789962313,1,1,1.7050316957210776,1.6352761714704125
2020,Total Corporate Financial,Corporate Financial,17561,13716,-5282,138.36666666666667,1.1038523028404985,19384.750290181993,15140.438185760278,-5830.547863603513,-5846.914789962313,1.8302240750390828,1.8186501453908592,1.0463549920760697,0.9972007585287718
2021,Total Corporate Financial,Corporate Financial,18493,16898,-11651,143.175,1.0667809578233884,19727.980253027923,18026.464625299617,-12429.0649396003,-5846.914789962313,1.9273579989577905,1.8508515001923396,2.308042789223455,2.125747575616783
2022,Total Corporate Financial,Corporate Financial,20162,18262,-2890,152.73636363636365,1,20162,18262,-2890,-5846.914789962313,2.1013027618551328,1.89157062549018,0.5725039619651348,0.49427776935648277
2017,Total Corporate Services,Commissioner of Corporate Services,,340,315,131.86666666666667,1.1582636271716151,,393.80963323834914,364.8530425590588,364.8530425590588,,,1,1
2018,Total Corporate Services,Commissioner of Corporate Services,,346,321,134.96666666666667,1.1316598935764162,,391.55432317744,363.2628258380296,364.8530425590588,,,1.019047619047619,0.9956414870220747
2019,Total Corporate Services,Commissioner of Corporate Services,422,371,346,137.49166666666667,1.1108772432489022,468.79019665103675,412.1354572453427,384.3635261641202,364.8530425590588,1,1,1.0984126984126985,1.0534749099753038
2020,Total Corporate Services,Commissioner of Corporate Services,414,338,338,138.36666666666667,1.1038523028404985,456.9948533759664,373.1020783600885,373.1020783600885,364.8530425590588,0.981042654028436,0.9748387586614771,1.073015873015873,1.0226092010722219
2021,Total Corporate Services,Commissioner of Corporate Services,414,331,331,143.175,1.0667809578233884,441.6473165388828,353.10449703954157,353.10449703954157,364.8530425590588,0.981042654028436,0.9421001541711871,1.0507936507936508,0.967799239285183
2022,Total Corporate Services,Commissioner of Corporate Services,405,321,321,152.73636363636365,1,405,321,321,364.8530425590588,0.9597156398104265,0.8639259158857334,1.019047619047619,0.879806285151205
2017,Total Corporate Services,Corporate Finance,,4153,3454,131.86666666666667,1.1582636271716151,,4810.268843643717,4000.642568250759,4000.642568250759,,,1,1
2018,Total Corporate Services,Corporate Finance,,4231,3542,134.96666666666667,1.1316598935764162,,4788.053009721817,4008.3393430476663,4000.642568250759,,,1.0254777070063694,1.0019238846424294
2019,Total Corporate Services,Corporate Finance,5467,4147,3503,137.49166666666667,1.1108772432489022,6073.165888841749,4606.807927753198,3891.4029831009047,4000.642568250759,1,1,1.014186450492183,0.9726944901259654
